CNPJ_Fundo;Data_Referencia;Versao;Data_Informacao_Numero_Cotistas;Total_Numero_Cotistas;Numero_Cotistas_Pessoa_Fisica;Numero_Cotistas_Pessoa_Juridica_Nao_Financeira;Numero_Cotistas_Banco_Comercial;Numero_Cotistas_Corretora_Distribuidora;Numero_Cotistas_Outras_Pessoas_Juridicas_Financeira;Numero_Cotistas_Investidores_Nao_Residentes;Numero_Cotistas_Entidade_Aberta_Previdencia_Complementar;Numero_Cotistas_Entidade_Fechada_Previdência_Complementar;Numero_Cotistas_Regime_Proprio_Previdencia_Servidores_Publicos;Numero_Cotistas_Sociedade_Seguradora_Resseguradora;Numero_Cotistas_Sociedade_Capitalizacao_Arrendamento_Mercantil;Numero_Cotistas_FII;Numero_Cotistas_Outros_Fundos;Numero_Cotistas_Distribuidores_Fundo;Numero_Cotistas_Outros_Tipos;Valor_Ativo;Patrimonio_Liquido;Cotas_Emitidas;Valor_Patrimonial_Cotas;Percentual_Despesas_Taxa_Administracao;Percentual_Despesas_Agente_Custodiante;Percentual_Rentabilidade_Efetiva_Mes;Percentual_Rentabilidade_Patrimonial_Mes;Percentual_Dividend_Yield_Mes;Percentual_Amortizacao_Cotas_Mes
00.332.266/0001-31;2016-11-01;1;2016-11-30;28;;;;;;;;;;;;;;;;462706957.83;461547477.7;2584398;178.589937656661;0.000124;0;-0.015778;-0.022555;0.006777;0
00.332.266/0001-31;2016-12-01;1;2016-12-31;28;22;2;0;0;0;1;0;1;0;0;0;1;0;0;1;463624078.85;461276076.55;2584398;178.484922426809;0.000125;0;0.012449;-0.000588;0.013037;0
00.613.094/0001-74;2016-10-01;1;2016-10-31;159;141;6;2;;4;;;6;;;;;;;;187913452.2;182876585.35;758400;241.134738066983;0;2.8E-05;-9E-05;-9E-05;0;0
00.613.094/0001-74;2016-11-01;1;2016-11-30;160;142;6;2;1;3;0;0;6;0;0;0;0;0;0;0;187617524.69;182796969.34;758400;241.029759150844;0;2.79223447650877E-05;-0.000435;-0.000435;0;0
00.613.094/0001-74;2016-12-01;1;2016-12-30;159;141;6;2;1;3;0;0;6;0;0;0;0;0;0;0;188115185.25;183794746.07;758400;242.345393024789;0;2.77484536907422E-05;0.005458;0.005458;0;0
00.762.723/0001-28;2016-11-01;1;2016-11-30;495;;;;;;;;;;;;;;;;123475408.92;122275752.91;36319906;3.36663186600758;0.000218;0;0.016057;0.006386;0.009671;0
00.762.723/0001-28;2016-12-01;1;2016-12-31;556;549;3;0;0;0;0;0;1;0;0;0;1;0;0;2;123561066.55;122319795.14;36319906;3.36784448561073;0.00022;0;0.010256;0.00036;0.009896;0
00.868.235/0001-08;2016-11-01;1;2016-11-30;7;;;;;;;;;;;;;;;;102560346.59;102045694.82;54316;1878.7409754032;0.00021;0;0.108846;0.104894;0.003952;0
00.868.235/0001-08;2016-12-01;1;2016-12-31;7;1;0;0;0;0;2;0;3;0;0;0;1;0;0;0;102613295.04;101976754.68;54316;1877.47173355917;0.00021;0;0.004224;-0.000676;0.0049;0
01.201.140/0001-90;2016-11-01;2;2016-11-30;561;;;;;;;;;;;;;;;;688339995.3;679452767.5;61019165;11.1350715385896;0.000796;0;0.072985;0.065806;0.007179;0
01.201.140/0001-90;2016-12-01;2;2016-12-31;591;581;5;0;0;0;3;0;1;0;0;0;0;0;0;1;691940372.86;679441306.74;61019165;11.1348837162882;8.2E-05;0;0.011934;-1.7E-05;0.011951;0
01.235.622/0001-61;2016-12-01;2;2016-12-30;52;37;;;;;;;;;;;;1;14;;2092341121.59;2021615953.51;692257;2920.32576558995;0.0005;0;-0.088336;-0.1577;0.069364;0
01.356.517/0001-80;2016-11-01;1;2016-11-30;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253515977.1;157734012.27;56701;2781.85591559232;0.0004;0;0.0314;0.0314;;
01.356.517/0001-80;2016-12-01;1;2016-12-31;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;258651715.97;129154258.01;56701;2277.81270189238;0.0004;0;0.0314;0.0314;;
01.497.954/0001-14;2016-11-01;1;2016-11-30;5;;;;;;;;;;;;;;;;125218501.18;124554117.89;8703994;14.3099958352453;0.000112;0.000116;0.00322;0.00322;0;0
01.497.954/0001-14;2016-12-01;1;2016-12-31;6;3;3;;;;;;;;;;;;;;125391604.94;124747748.47;8703994;14.3322420109665;0.000114;0;0.003261;0.001555;0.001706;0
01.601.918/0001-59;2016-11-01;2;2016-11-30;8;;;;;;;;;;;;;;;;65841788.31;65811593.23;500000;131.62318646;0.00042;1.3E-05;0.02739;0.02739;0;0
01.601.918/0001-59;2016-12-01;1;2016-12-31;8;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6;63490734;63411524.22;500000;126.82304844;0.000467;1.1E-05;0.005317;-0.036469;0.041786;0
01.633.741/0001-72;2016-10-01;1;2016-10-31;233;;;;;;;;;;;;;;;;92748867.12;92390852.85;508008;181.868893501677;0.0002067;2.1E-05;0.0018454;0.0005804;0.001265;
01.633.741/0001-72;2016-11-01;1;2016-11-30;241;;;;;;;;;;;;;;;;92740481.04;92423139.68;508008;181.932449252768;0.000205;2.1E-05;0.001723;0.000349;0.001374;
01.633.741/0001-72;2016-12-01;1;2016-12-29;241;229;2;;;;1;;7;;;;2;;;;67761265.6;67560023.12;508008;132.990077164139;0.00027;2.9E-05;-0.262418;-0.269014;0.006596;
01.636.325/0001-28;2016-11-01;1;;4;;;;;;;;;;;;;;;;214193584.33;210560069.41;233608;901.339292361563;0.002999;0.000108;0.007045;0.000843;0.006202;0
01.636.325/0001-28;2016-12-01;2;2016-12-31;4;;4;;;;;;;;;;;;;;226131249.15;222432980.24;233608;952.163368720249;0.00305864773314451;0.000112558816134302;0.063715;0.056387;0.007328;0
01.657.856/0001-05;2016-11-01;1;2016-11-30;85;;;;;;;;;;;;;;;;49298933.18;48803373.37;4200000;11.619850802381;0.003416;0.000448;0.006966;0.000288;0.006678;0
01.657.856/0001-05;2016-12-01;1;2016-12-31;88;84;4;;;;;;;;;;;;;;47246149.07;46764001.52;4200000;11.1342860761905;0.00388809648640179;0.000514006270180277;-0.035098;-0.041788;0.00669;0
01.964.775/0001-40;2016-10-01;1;2016-10-31;6;;;;;;;;;;;;;;;;1275832.82;826051.92;12583000;0.065648249225145;0.1132;;0.00572;0.00572;;
01.964.775/0001-40;2016-11-01;1;2016-11-30;6;;;;;;;;;;;;;;;;1536707.84;1084050.9;12583000;0.0861520225701343;0.072386;0;0.008685;0.008685;0;
01.964.775/0001-40;2016-12-01;3;2016-12-31;6;;1;;;;;;5;;;;;;;;1557716.55;1108738.71;12583000;0.0881140197091314;0.028924;0;0.022774;0.022774;0;
02.027.437/0001-44;2016-11-01;1;2016-11-30;12;;;;;;;;;;;;;;;;68400939.57;67977292.67;140000;485.5520905;0.000276;0;-0.08883;-0.092863;0.004033;0
02.027.437/0001-44;2016-12-01;1;2016-12-31;12;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;68506167.52;68207998.37;140000;487.199988357143;0.000275;0;0.007508;0.003394;0.004114;0
02.508.235/0001-14;2016-11-01;2;2016-11-30;5;;;;;;;;;;;;;;;;76055974.23;75826800.96;17100;4434.31584561403;0.000453;0;0.061627;0.048312;0.013315;0
02.508.235/0001-14;2016-12-01;1;2016-12-31;5;4;1;;;;;;;;;;;;;;76043003.63;75793938.86;17100;4432.39408538012;0.000454;0;0.012372;-0.000433;0.012805;0
03.251.720/0001-18;2016-10-01;1;2016-10-31;838;;;;;;;;;;;;;;;;307484126.94;303852960.01;750000;405.137280013333;0.00029;1E-05;0.00466;6E-05;0.0046;
