nome_imovel,cnpj_fundo,latitude,longitude
Edificio Brascan Century Corporate - Bloco C,14.376.247/0001-11,-23.5843951,-46.6750788
AG. ZONA SUL,14.410.722/0001-29,-22.9694182,-43.1853633
SAO CAETANO DO SUL,14.410.722/0001-29,-23.6140723,-46.571911
ED. SEDE III,14.410.722/0001-29,-15.7981617,-47.88662220000001
SUPER VAR E GOV MT,14.410.722/0001-29,-15.5799963,-56.0994823
AG. CASA VERDE,14.410.722/0001-29,-23.5084743,-46.6569181
AG. MANAUS,14.410.722/0001-29,-3.1353575,-60.0230785
AG. MARINGA,14.410.722/0001-29,-23.4215907,-51.9398145
AG. AFONSO PENA,14.410.722/0001-29,-20.4641733,-54.6153646
AG. NOSSA SENHORA LAPA,14.410.722/0001-29,-23.5222167,-46.7034365
AG. PARAISO,14.410.722/0001-29,-23.5736002,-46.6427584
AG. ANA ROSA,14.410.722/0001-29,-23.5808802,-46.6396636
AG. SANTANA,14.410.722/0001-29,-23.5048825,-46.6266821
AG. BRAS,14.410.722/0001-29,-23.5422185,-46.61492740000001
AG. CINELANDIA,14.410.722/0001-29,-22.9094577,-43.1770263
AG. BONFIM,14.410.722/0001-29,-22.9003131,-47.0809724
AG. TIJUCA,14.410.722/0001-29,-22.9251536,-43.233504
AG.BELEM-CENTRO(PA),14.410.722/0001-29,-1.4332791,-48.4897866
AG. CENTRO - SOROCABA(SP),14.410.722/0001-29,-23.4999228,-47.4549386
AG. DUQUE DE CAXIAS,14.410.722/0001-29,-22.7004264,-43.2370665
AG. JACAREPAGUA,14.410.722/0001-29,-22.9182149,-43.3613313
AG. PONTA GROSSA,14.410.722/0001-29,-25.0969662,-50.1604191
AG. IPIRANGA-SP,14.410.722/0001-29,-23.5776064,-46.6083667
CSL SAO PAULO,14.410.722/0001-29,-23.5448124,-46.6350735
AG PASSO FUNDO,14.410.722/0001-29,-28.261078,-52.4069339
AG. UBERLANDIA,14.410.722/0001-29,-18.9170122,-48.2771138
AG. NITEROI (RJ),14.410.722/0001-29,-22.8934407,-43.1194716
AG. MOEMA,14.410.722/0001-29,-23.6081167,-46.6637789
AG. PINHEIROS,14.410.722/0001-29,-23.5678117,-46.6920096
AG. SAO JOSE DOS CAMPOS,14.410.722/0001-29,-23.1409144,-45.7893999
CSL CURITIBA,14.410.722/0001-29,-25.4296674,-49.2720406
AG. BAIRRO BOM RETIRO,14.410.722/0001-29,-23.5268353,-46.640412
AG. CATEDRAL-SOROCABA,14.410.722/0001-29,-23.49977,-47.4563693
CSL SAO PAULO,14.410.722/0001-29,-23.5451456,-46.6347337
SUPER VAR E GOV RS,14.410.722/0001-29,-30.0192159,-51.1846434
AG. CAMPOS GOYTACAZES,14.410.722/0001-29,-21.7614561,-41.3167841
AG. SAO JOSE RIO PRETO SP,14.410.722/0001-29,-20.8118709,-49.37994399999999
CSL BRASILIA,14.410.722/0001-29,-16.6717046,-49.25873319999999
AG. ASA NORTE 504,14.410.722/0001-29,-15.7765946,-47.8875902
AG. CONJUNTO NACIONAL,14.410.722/0001-29,-15.8325498,-48.0537958
AG. SANTO AMARO PAULISTA,14.410.722/0001-29,-23.651054,-46.7081965
PSO PIRACICABA,14.410.722/0001-29,-22.7252811,-47.6486311
AG. ARACATUBA,14.410.722/0001-29,-21.2063297,-50.4382136
AG. FLORIANOPOLIS,14.410.722/0001-29,-27.596621,-48.5490134
AG. JUIZ DE FORA,14.410.722/0001-29,-21.7605471,-43.3488908
AG. BROOKLIN PAULISTA,14.410.722/0001-29,-23.6247188,-46.6833814
AG. RIBEIRAO PRETO SP,14.410.722/0001-29,-21.1754087,-47.8073126
AG. TOLEDO,14.410.722/0001-29,-24.7334103,-53.7412372
AG. CAMPINAS,14.410.722/0001-29,-22.906242,-47.0601236
AG LEBLON,14.410.722/0001-29,-22.9829164,-43.22337419999999
AG. PCA XV NOVEMBRO/BESC,14.410.722/0001-29,-27.596827,-48.548837
CSL BELO HORIZONTE,14.410.722/0001-29,-19.9372008,-43.94107
AG. VILA CARRAO (SP),14.410.722/0001-29,-23.547957,-46.538109
AG. TAMOIOS BH,14.410.722/0001-29,-19.91925,-43.94348
AG.BELO HORIZONTE,14.410.722/0001-29,-19.9210725,-43.9392933
AG. PRACA DA ARVORE,14.410.722/0001-29,-23.6077254,-46.6381327
AG. PENHA FRANCA,14.410.722/0001-29,-23.5217471,-46.5471961
AG CAXIAS SUL,14.410.722/0001-29,-29.1684578,-51.1784332
AG. ALDEOTA,14.410.722/0001-29,-3.7361694,-38.4978242
AG. PC.RUI BARBOSA-BAURU,14.410.722/0001-29,-22.3213691,-49.07067259999999
AG. CARIJOS,14.410.722/0001-29,-19.9196067,-43.9370073
AG. GENERAL VALADAO,14.410.722/0001-29,-10.9095938,-37.0487132
AG. CAMPOS ELISEOS,14.410.722/0001-29,-23.5321572,-46.6460027
AG. FREGUESIA DO O,14.410.722/0001-29,-23.501786,-46.6945329
AG. ASA SUL 507,14.410.722/0001-29,-15.821319,-47.9541709
Atento Campo Grande,14.413.342/0001-48,-22.8657836,-43.5114637
Canopus Corp. Alpha,14.413.342/0001-48,-23.5034921,-46.84450959999999
JHSF Aeroporto,14.609.653/0001-87,-23.4266147,-47.2413064
Libero loja,14.631.148/0001-39,-23.5470703,-46.6364137
Imóvel RB 115,14.631.148/0001-39,-22.9032944,-43.1780878
Libero loja,14.631.148/0001-39,-23.546751,-46.6364259
Rodrigo Silva,14.631.148/0001-39,-22.9052448,-43.17691250000001
Cajamar,14.631.148/0001-39,-23.408111,-46.8562612
Charitas,14.631.148/0001-39,-22.9240876,-43.093324
Macaé RJ,14.631.148/0001-39,-22.3837126,-41.7827578
Itaboraí,14.631.148/0001-39,-22.746948,-42.859699
Indaiatuba,14.631.148/0001-39,-23.1241757,-47.2262423
Duque de Caxias,14.631.148/0001-39,-22.8174476,-43.2877531
Condado de Cascais,14.631.148/0001-39,-23.0060822,-43.3127267
São Joaquim,14.631.148/0001-39,-22.7447356,-42.895453
TLCH - BL1 APTO1304,14.665.312/0001-29,-1.3241416,-48.4489843
HAPPY PRAIA APTO 103,14.665.312/0001-29,-20.1995538,-40.2180702
MHR - ILHA DE KARPATHOS 304,14.665.312/0001-29,-27.5948036,-48.5569286
HAPPY MOOD APTO 306 /VG 255,14.665.312/0001-29,-29.9122825,-51.1866798
BPWR - BL6 APTO102,14.665.312/0001-29,-3.8448946,-38.3917424
Polo Shopping Indaiatuba,14.721.889/0001-00,-23.116326,-47.21942749999999
Edifício Pedro Mariz,14.733.211/0001-48,-23.5273399,-46.5046423
Condomínio do Shopping Praça da Moça,14.733.211/0001-48,-23.6916005,-46.6233279
Restaurante Ed. Vitor Malzoni - Torre Sul,14.788.492/0001-36,-23.586955,-46.682227
Edifício Empresarial Center I,14.793.782/0001-78,-8.1172021,-34.9023743
Edifício Suarez Trade,14.793.782/0001-78,-12.9809441,-38.4500898
Edifício Tenente Negrão,14.793.782/0001-78,-23.5851063,-46.6723422
Edifício Empresarial Center II,14.793.782/0001-78,-8.117588999999999,-34.90280389999999
Shopping Jardim Sul,14.879.856/0001-93,-23.6300221,-46.7362713
Macaé,15.006.267/0001-63,-22.9419239,-43.1734345
GT Plaza,15.006.267/0001-63,-23.6584015,-46.713463
DeckPark,15.006.286/0001-90,-23.501103,-46.848257
Imóvel 1,15.098.422/0001-19,-23.7189914,-46.6009865
Vila Olímpia Corporate,15.296.696/0001-12,-23.5946918,-46.6860024
Edificio Galeria,15.333.306/0001-37,-22.9026279,-43.17691079999999
Gremfeel,15.348.117/0001-38,-22.7887735,-43.2842635
Cariacica,15.348.117/0001-38,-20.3186673,-40.39154389999999
Paraupebas,15.348.117/0001-38,-6.0801399,-49.88576459999999
Atibaia,15.348.117/0001-38,-23.1037561,-46.5232027
Betim,15.348.117/0001-38,-19.9265881,-44.1078147
Duque de Caxias,15.348.117/0001-38,-22.7571277,-43.2862363
Pindamonhangaba,15.348.117/0001-38,-22.9502251,-45.4047141
São Luiz,15.348.117/0001-38,-11.4113492,-44.8881164
3 Centros de Convenções no Hotel Royal Tulip,15.461.076/0001-91,-19.9144191,-43.9375144
02 unidades tipo bangalôs Hotel Resort Txai Terravista,15.461.076/0001-91,-16.4910066,-39.0740031
34 un salas comerciais do THE ONE OFFICE TOWER TAUBATÉ,15.461.076/0001-91,-23.0296106,-45.5783028
Imóvel 1,15.463.207/0001-70,-22.8762748,-43.2128913
Supermercado Bahamas,15.489.509/0001-17,-21.6772041,-43.4484035
Supermercado Bahamas,15.489.509/0001-17,-21.790295,-43.3587728
Supermercado Bahamas,15.489.509/0001-17,-18.8890108,-48.2815877
Supermercado Bahamas,15.489.509/0001-17,-18.9447378,-48.2349594
Supermercado Bahamas,15.489.509/0001-17,-21.7708345,-43.3800243
Supermercado Bahamas,15.489.509/0001-17,-21.7232452,-43.3953613
Supermercado Bahamas,15.489.509/0001-17,-21.3976347,-42.69325569999999
Supermercado Bahamas,15.489.509/0001-17,-21.213006,-43.7717821
Supermercado Bahamas,15.489.509/0001-17,-21.1108075,-42.9548877
Supermercado Bahamas,15.489.509/0001-17,-21.6904778,-43.4406232
Supermercado Bahamas,15.489.509/0001-17,-21.5268676,-42.6337096
Supermercado Bahamas,15.489.509/0001-17,-21.383718,-42.692753
Granja,15.489.509/0001-17,-21.7896134,-43.3535635
Supermercado Bahamas,15.489.509/0001-17,-18.907202,-48.2618857
Supermercado Bahamas,15.489.509/0001-17,-21.8063177,-43.37633290000001
Supermercado Bahamas,15.489.509/0001-17,-21.1299234,-44.2508419
Supermercado Bahamas,15.489.509/0001-17,-21.6907796,-43.34848789999999
Edificio Comercial Badaró,15.538.445/0001-05,-23.5389258,-46.6340764
Edificio Comercial Belenzinho,15.538.445/0001-05,-23.6051166,-46.529087
Belem Novo,15.570.431/0001-60,-30.1557485,-51.1291667
Cruz Alta,15.570.431/0001-60,-28.6467693,-53.6068223
Camboim,15.570.431/0001-60,-29.833712,-51.1415106
Quarai,15.570.431/0001-60,-30.3864591,-56.4532889
General Camara,15.570.431/0001-60,-29.9097327,-51.7625274
Parobe,15.570.431/0001-60,-29.6324672,-50.8336233
Tancredo Neves,15.570.431/0001-60,-29.6933806,-53.8747505
Santa Rosa,15.570.431/0001-60,-27.8591814,-54.4378261
Sao Gabriel,15.570.431/0001-60,-30.337956,-54.322849
Campina,15.570.431/0001-60,-29.7440066,-51.1600792
Vacaria,15.570.431/0001-60,-28.5111509,-50.9359452
Scharlau,15.570.431/0001-60,-29.73303779999999,-51.1545986
Arroio do Sal,15.570.431/0001-60,-29.5477355,-49.89107389999999
Taquari,15.570.431/0001-60,-29.7951232,-51.8671125
Cassino,15.570.431/0001-60,-32.186471,-52.1614343
Vila Ipiranga,15.570.431/0001-60,-30.0205324,-51.1516581
Sapiranga,15.570.431/0001-60,-29.6362213,-51.0066102
Padre Claret,15.570.431/0001-60,-29.84886629999999,-51.1637662
Guaianases,15.576.907/0001-70,-23.5424895,-46.4182095
Inconfidência,15.576.907/0001-70,-19.9202124,-43.9419465
São Gonçalo,15.576.907/0001-70,-22.8226284,-43.0437373
Ag Pq. Maria Helena,15.576.907/0001-70,-23.5238391,-46.3008693
Nova Iguaçu,15.576.907/0001-70,-22.7590105,-43.4535472
Ag Industrial,15.576.907/0001-70,-18.9127749,-48.2755227
Hebraica,15.576.907/0001-70,-23.5721434,-46.6905242
Venda Nova,15.576.907/0001-70,-19.8119766,-43.9633636
Pirituba,15.576.907/0001-70,-23.4877455,-46.7210185
Jundiapeba,15.576.907/0001-70,-23.5440692,-46.2586269
Ipanema,15.576.907/0001-70,-22.9847641,-43.1993433
Santa Cecília,15.576.907/0001-70,-23.5345805,-46.6550234
Recreio dos Bandeirantes,15.576.907/0001-70,-23.0198169,-43.4895771
Pedro Vicente,15.576.907/0001-70,-23.5254811,-46.6268596
Paes Leme,15.576.907/0001-70,-23.5676031,-46.6988479
Estrada do Campo Limpo,15.576.907/0001-70,-23.6281094,-46.7674178
Guarapiranga,15.576.907/0001-70,-23.6673601,-46.7132918
Itaquaquecetuba,15.576.907/0001-70,-23.4767978,-46.3519541
Leme,15.576.907/0001-70,-22.9633836,-43.1726733
14 Bis,15.576.907/0001-70,-22.9095897,-43.1691335
Quitaúna,15.576.907/0001-70,-23.5268786,-46.7960922
Imirim,15.576.907/0001-70,-23.4965141,-46.63714359999999
Carapicuiba,15.576.907/0001-70,-23.5213924,-46.8330333
Italianos,15.576.907/0001-70,-23.5246606,-46.6439411
Rio Claro,15.576.907/0001-70,-22.4107714,-47.5629407
Planalto Paulista,15.576.907/0001-70,-23.6199661,-46.6478955
Mutinga,15.576.907/0001-70,-23.5062221,-46.7707053
Pátio do Colégio,15.576.907/0001-70,-23.5487565,-46.6330861
Jardim da Saúde,15.576.907/0001-70,-23.6143416,-46.6174868
Vila Mascote,15.576.907/0001-70,-23.6391375,-46.66941
Benedito Coutinho,15.576.907/0001-70,-23.551676,-46.8138828
Barra Funda,15.576.907/0001-70,-23.5365281,-46.6425962
Senador Queirós,15.576.907/0001-70,-23.5388106,-46.6352807
Meier,15.576.907/0001-70,-22.901816,-43.27883140000001
Capão Redondo,15.576.907/0001-70,-23.6431033,-46.7363351
Ag Av. Pres. Wilson      ,15.576.907/0001-70,-22.9123035,-43.1746307
Cipó-Guaçu,15.576.907/0001-70,-23.878914,-46.7940226
Bandeira,15.576.907/0001-70,-22.9126247,-43.2153487
Via Anchieta,15.576.907/0001-70,-23.6166746,-46.6013896
Estrada Rio do A,15.576.907/0001-70,-22.897431,-43.5652189
Av. Chile,15.576.907/0001-70,-22.9090138,-43.1805487
CEO Corporate Executive Offices,15.799.397/0001-09,-22.9856057,-43.3593467
Imóvel 1,15.862.591/0001-83,-22.9108275,-43.201253
Multimodal D Caxias,16.671.412/0001-93,-22.8006165,-43.2822061
Ed. The Corporate Macaé,16.802.320/0001-03,-22.4012269,-41.8082946
FORTALEZA-CEN,16.915.840/0001-14,-3.7340924,-38.5293741
AVENIDAS,16.915.840/0001-14,-23.5682341,-46.6475547
CONS. RODR. ALVES,16.915.840/0001-14,-23.5821604,-46.6391193
OUVIDOR,16.915.840/0001-14,-22.9032944,-43.1780878
S BERNARDO CAMPO,16.915.840/0001-14,-21.760497,-43.3497669
RIO-CANDELÁRIA,16.915.840/0001-14,-22.9023331,-43.1781497
VOLTA REDONDA-CEN,16.915.840/0001-14,-15.794544,-48.0388431
PORTO ALEGRE - 7 SET,16.915.840/0001-14,-26.993026,-51.2064521
SÃO GONÇALO - ALC,16.915.840/0001-14,-22.8210344,-43.0030524
RIBEIRAO PRETO,16.915.840/0001-14,-23.5688196,-46.64817790000001
BERRINI,16.915.840/0001-14,-23.6084073,-46.6934921
SANTOS,16.915.840/0001-14,-23.9328965,-46.3292273
NOVA PAULISTA 726,16.915.840/0001-14,-23.5712391,-46.644675
RIO - PÇA. PIO X,16.915.840/0001-14,-22.9002105,-43.1779928
DUQUE DE CAXIAS,16.915.840/0001-14,-3.730092,-38.5352675
SANTO ANDRÉ,16.915.840/0001-14,-23.6611088,-46.524724
URB-RIO - CENTRO,16.915.840/0001-14,-22.9032731,-43.1768534
LIBERDADE,16.915.840/0001-14,38.7190836,-9.1452967
BELO HORIZONTE,16.915.840/0001-14,-19.9294568,-43.9376433
SÃO MATEUS,16.915.840/0001-14,-23.6103945,-46.4771299
URB-SP - MONÇÕES,16.915.840/0001-14,-23.6133422,-46.6786069
BH - TIRADENTES,16.915.840/0001-14,-22.9068816,-43.1839756
MONSENHOR CELSO,16.915.840/0001-14,-23.6997564,-46.5517106
JUNDIAÍ,16.915.840/0001-14,-23.1872715,-46.884823
SÃO GONÇALO - CENT,16.915.840/0001-14,-22.8249539,-43.049509
ALTO DE PINHEIROS,17.007.443/0001-07,-23.55441,-46.71684630000001
173073 - JABAQUARA,17.007.443/0001-07,-23.6376979,-46.6457565
Casa Daros,17.007.528/0001-95,-22.9544862,-43.1792358
Hospital São Luiz - BLOCO C e E,17.025.970/0001-44,-23.5904289,-46.673047
Hospital São Luiz - BLOCO B,17.025.970/0001-44,-23.5913194,-46.6742225
Atento Salvador/BA,17.035.124/0001-05,-12.834166,-38.4707898
Atento Santos/SP,17.035.124/0001-05,-23.9339472,-46.333873
Ambev Santa Luzia/BH,17.035.124/0001-05,-19.8021931,-43.8702429
"GR Louveira - 90,18008%",17.143.998/0001-86,-23.082516,-46.9705386
Edifício Jatobá - 50%,17.144.039/0001-85,-23.5058248,-46.8371666
Ed.Berlioz,17.161.979/0001-82,-19.9389345,-43.9401395
Ed.Prime Savassi,17.161.979/0001-82,-19.9387863,-43.9321953
Ed.Berlioz,17.161.979/0001-82,-19.9389683,-43.9400669
Ed.Berlioz,17.161.979/0001-82,-19.9388297,-43.9400058
Ed.Prime Savassi,17.161.979/0001-82,-19.9390725,-43.9324673
Ed.Renaissance,17.161.979/0001-82,-19.9313063,-43.9326142
Ed.Prime Savassi,17.161.979/0001-82,-19.9390659,-43.9324918
Ed.Berlioz,17.161.979/0001-82,-19.9389043,-43.9400584
Ed.Severo Antunes,17.161.979/0001-82,-20.0744272,-44.5777618
Ed.Renaissance,17.161.979/0001-82,-19.9313006,-43.9327268
Ed.Berlioz,17.161.979/0001-82,-19.9387655,-43.94005
Ed.Berlioz,17.161.979/0001-82,-19.9389568,-43.9400624
Ed.Prime Savassi,17.161.979/0001-82,-19.9387525,-43.9321659
Fazenda Morada da Prata,17.198.500/0001-82,-8.2625656,-49.2694666
Fazenda São Roberto II,17.198.500/0001-82,-9.339120399999999,-50.33753670000001
Fazenda São Pedro do Pará,17.198.500/0001-82,-7.811377199999999,-50.76763700000001
Empreendimento Nun Vila Nova,17.209.378/0001-00,-23.5892089,-46.6725781
Empreendimento Trend Higienópolis,17.209.378/0001-00,-23.5424427,-46.648134
Recreio dos Bandeirantes,17.209.378/0001-00,-22.9389375,-43.3408269
Empreendimento Urban Resort,17.209.378/0001-00,-23.5389547,-46.6407438
JHSF Aeroporto,17.211.882/0001-37,-23.4266147,-47.2413064
Projeto Arbol (Idea Zarvos SPE 15 Ltda),17.216.625/0001-98,-23.5363127,-46.7026827
Projeto Flora (Idea Zarvos SPE 24 Ltda),17.216.625/0001-98,-23.5356006,-46.7024951
Edifício Corporate Park,17.282.011/0001-04,-23.5874205,-46.6722118
Praça Capital - Bloco 02,17.311.079/0001-74,-15.8053755,-47.9494153
Terminal Integrador de Santa Luzia,17.331.883/0001-15,-19.7935589,-43.8752467
Tower Bridge Corporate,17.365.105/0001-47,-23.6117616,-46.6970209
Edificio DOMO CORPORATE,17.374.696/0001-19,-23.6914704,-46.5499074
Shopping Crystal,17.554.274/0001-25,-25.4385984,-49.2817124
Center Shopping Rio,17.554.274/0001-25,-22.9185508,-43.3611271
Imóvel Ilha Plaza Shopping Center,17.554.274/0001-25,-22.8020438,-43.2022815
West Shopping,17.554.274/0001-25,-22.8859123,-43.5571732
Shopping Paralela,17.554.274/0001-25,-12.9366876,-38.3945855
Imóvel Shopping Belém,17.554.274/0001-25,-1.4579842,-48.4953617
Shopping Bonsucesso,17.590.518/0001-25,-23.4722663,-46.423568
Parque Shopping Maia,17.590.518/0001-25,-23.4435689,-46.5399074
IMÓVEL SANTA CRUZ,17.655.102/0001-48,-22.8838214,-43.5097512
SÃO JOÃO DE MERETI,17.655.102/0001-48,-22.7895139,-43.3641965
MOT  -  Morumbi  Officer Tower,17.655.115/0001-17,-23.6235849,-46.6967345
Galpão Industrial Jaraguá do Sul,17.655.115/0001-17,-26.5218185,-49.1343314
Eluma,17.655.115/0001-17,-23.5631279,-46.6540711
PIEM043,17.655.122/0001-19,-20.3308878,-40.311443
PIEM044,17.655.122/0001-19,34.5707423,-117.9342036
PIEM060,17.655.122/0001-19,-23.6051461,-46.4640926
PIEM056,17.655.122/0001-19,-22.9114073,-43.1744648
PIEM053,17.655.122/0001-19,-22.9728015,-49.9146218
PIEM069,17.655.122/0001-19,-23.4532515,-47.5071002
PIEM036,17.655.122/0001-19,33.93911,67.709953
PIEM007,17.655.122/0001-19,-20.2903988,-50.5437501
PIEM050,17.655.122/0001-19,-21.1518224,-48.9963914
PIEM045,17.655.122/0001-19,-23.6454084,-46.7084442
PIEM049,17.655.122/0001-19,-25.4341822,-49.2663144
PIEM058,17.655.122/0001-19,-23.2145154,-47.2845666
PIEM038,17.655.122/0001-19,-26.6019069,-48.7259638
PIEM051,17.655.122/0001-19,-23.6986045,-46.2489342
PIEM068,17.655.122/0001-19,-23.2934991,-47.6842274
PIEM047,17.655.122/0001-19,-22.8436857,-43.0819919
PIEM062,17.655.122/0001-19,-22.8796697,-42.0514071
PIEM012,17.655.122/0001-19,-20.815118,-49.39051490000001
PIEM035,17.655.122/0001-19,-12.9941779,-38.4711528
PIEM037,17.655.122/0001-19,-23.5161448,-46.7962697
PIEM055,17.655.122/0001-19,-20.8102451,-49.4117052
PIEM052,17.655.122/0001-19,38.7415982,-9.1468711
PIEM039,17.655.122/0001-19,-23.9492086,-46.4145304
PIEM067,17.655.122/0001-19,-22.8110923,-43.287387
PIEM048,17.655.122/0001-19,-21.8324975,-48.1517265
PIEM006,17.655.122/0001-19,-20.284011,-50.2467389
PIEM046,17.655.122/0001-19,-22.5576625,-44.1256101
PIEM065,17.655.122/0001-19,-22.2537092,-42.53781540000001
PIEM059,17.655.122/0001-19,-3.1029613,-59.95958099999999
PIEM061,17.655.122/0001-19,-23.9523114,-46.4154501
PIEM054,17.655.122/0001-19,-22.4274231,-47.5747463
Shopping Taboão Plaza Outlet,17.854.016/0001-64,-23.6096807,-46.7695401
Ed. Mario Garnero - Torre Sul,18.259.637/0001-62,-23.5701496,-46.6905665
Camaçari,18.265.829/0001-81,-12.7013955,-38.3075968
Camaçari,18.265.829/0001-81,-12.7013955,-38.3075968
Salvador,18.265.829/0001-81,-12.9838069,-38.4536515
Srinhaém,18.265.829/0001-81,-8.639665700000002,-35.1197116
Jundiaí,18.265.829/0001-81,-23.1675328,-46.9270344
Camaçari,18.265.829/0001-81,-12.7001932,-38.325345
Camaçari,18.265.829/0001-81,-12.7001932,-38.325345
MR SHAN BUSINESS OFFICE,18.289.950/0001-43,-30.0352984,-51.1765719
Ibis Budget Curitiba Centro (10 apartamentos)),18.308.516/0001-63,-25.4341698,-49.2604432
Novotel Porto Alegre Aeroporto (13 apartamentos),18.308.516/0001-63,-29.9866298,-51.1807824
Ibis Canoas (11 apartamentos),18.308.516/0001-63,-29.910958,-51.1843887
SHOPPING PÁTIO ALCÂNTARA,18.311.024/0001-27,-22.8221962,-43.0497546
Berfort Roxo (C&C),18.330.535/0001-96,-22.7452836,-43.3764985
Osasco (B2W e Royality),18.330.535/0001-96,-23.5263956,-46.76383300000001
Nova Iguaçu (C&C),18.330.535/0001-96,-22.7364419,-43.4524
Shopping Praça Rio Grande,18.330.535/0001-96,-32.0479365,-52.1447736
IMÓVEL CONASA,18.369.510/0001-04,-27.6570298,-48.6784639
Visage Oeste 2001,18.497.672/0001-10,-16.6881703,-49.2685888
Lac de Rose 402,18.497.672/0001-10,-16.6830681,-49.2761778
Premier Vision 3202,18.497.672/0001-10,-16.701563,-49.2383063
Premier L'Allure 1801,18.497.672/0001-10,-16.6630785,-49.2307512
Edifício Antares 301,18.497.672/0001-10,-16.6848554,-49.2714702
Praia Grande 502,18.497.672/0001-10,-16.6938273,-49.23853390000001
Visage Arena 1701,18.497.672/0001-10,-16.703198,-49.2428399
Visage Sudoeste 801,18.497.672/0001-10,-16.7144545,-49.2846851
Premier Blanc 2302,18.497.672/0001-10,-16.7275532,-49.3698379
Nome: Casa 30 Villa Garden,18.570.740/0001-29,-23.6480651,-46.6772066
Cobertura Santa Elena,18.570.740/0001-29,-23.6495146,-46.6935908
Cobertura Vila Mascote,18.570.740/0001-29,-23.6471269,-46.6668604
IMÓVEL DEL CASTILHO,18.579.302/0001-21,-22.8790996,-43.265887
Imóvel 3,18.836.451/0001-29,-19.8229028,-43.9675309
Imóvel 4,18.836.451/0001-29,-19.8231146,-43.9679251
Imóvel 6,18.836.451/0001-29,-19.8229028,-43.9675309
Imóvel 1,18.836.451/0001-29,-19.9219024,-43.9706073
Imóvel 7,18.836.451/0001-29,-19.9487189,-44.0083423
Imóvel 5,18.836.451/0001-29,-19.8229028,-43.9675309
Shoppiung Cidade,18.874.965/0001-79,-19.9215113,-43.9400666
Santa Efigênia,18.929.353/0001-36,-19.9272183,-43.922402
Itajaí - SC,18.950.957/0001-64,-12.9929748,-38.5259383
Parauapebas- PA,18.950.957/0001-64,-6.1063362,-49.9744366
São José - SC,18.950.957/0001-64,-27.5653121,-48.6156079
Ribeirão Preto - SP,18.950.957/0001-64,-21.2020164,-47.7843513
Linhares- ES,18.950.957/0001-64,-27.0854899,-48.6067675
Vilhena - RO,18.950.957/0001-64,-11.7934513,-61.06183699999999
Arapongas - PR,18.950.957/0001-64,-22.6824542,-49.4148399
Araucária - PR,18.950.957/0001-64,-25.5959555,-49.4050703
Petrolina - PE,18.950.957/0001-64,-9.3935186,-40.5125158
Campo Grande - MS,18.950.957/0001-64,-5.8589768,-35.2493025
Colombo- PR,18.950.957/0001-64,-25.3683839,-49.1896393
Lucas do Rio Verde - MT,18.950.957/0001-64,-13.0780024,-55.9468484
Umuarama - PR,18.950.957/0001-64,-23.7802381,-53.30073969999999
Hortolândia - SP,18.950.957/0001-64,-22.8869299,-47.1942659
FL 3500,19.239.245/0001-02,-23.5890583,-46.68146549999999
Leblon Office Tower,19.249.956/0001-50,-22.9859029,-43.2273795
Leblon Office Tower,19.249.956/0001-50,-22.9859029,-43.2273795
Imóvel 3,19.267.845/0001-76,-23.5775252,-46.6868419
Imóvel 4,19.267.845/0001-76,-23.5775252,-46.6868419
Imóvel 8,19.267.845/0001-76,-23.6088377,-46.68373889999999
Imóvel 6,19.267.845/0001-76,-23.5584896,-46.6518655
Imóvel 10,19.267.845/0001-76,-21.8320793,-46.8934827
Imóvel 1,19.267.845/0001-76,-23.5408331,-46.6498858
Imóvel 2,19.267.845/0001-76,-23.5408258,-46.6498481
Imóvel 9,19.267.845/0001-76,-23.5819032,-46.68199260000001
São Paulo Corporate Towers - 100%,19.419.994/0001-03,-23.5916617,-46.6879693
Boulevard Corporate Tower,19.442.626/0001-86,-19.9109191,-43.9097284
Ed. Artemis,20.003.001/0001-05,-8.058312899999999,-34.8875036
Lojas Leader,20.003.001/0001-05,-22.9031815,-43.5565496
Tech Town,20.003.001/0001-05,-22.9013279,-47.2001486
Brookfield Towers,20.132.453/0001-89,-16.7000101,-49.24707919999999
Edifício comercial Raja Quick,20.265.467/0001-70,-19.9480013,-43.9604775
Ville Celestine - Residence Service,20.265.467/0001-70,-19.9470438,-43.95437769999999
Residencial os Inconfidentes,20.265.467/0001-70,-19.9841083,-43.94060349999999
Edificio Comercial Cassio Resende II,20.265.467/0001-70,-19.9257417,-43.9388924
Condomínio FL Corporate,20.680.775/0001-62,-23.5943615,-46.68053
Condomínio Vera Cruz II,20.680.775/0001-62,-23.5944002,-46.6799034
Condomínio Edifício Capital Plaza,20.680.775/0001-62,-23.559222,-46.697465
Concessionária,20.680.775/0001-62,-23.6410143,-46.7235224
Condomínio Edifício Praça Faria Lima,20.680.775/0001-62,-23.5930143,-46.679972
Edifício Aspen,20.680.775/0001-62,-23.5954341,-46.6854636
Condomínio Edifício Paddock I,20.680.775/0001-62,-23.5823294,-46.6918444
Riverside,20.680.775/0001-62,-23.5765067,-46.6950654
Condomínio FL Faria Lima,20.680.775/0001-62,-23.5947624,-46.6818726
JK1600,20.680.775/0001-62,-23.591316,-46.684987
Loja Comercial,20.680.775/0001-62,-23.5293641,-46.7379636
Prédio Santo Amaro,20.680.775/0001-62,-23.6586019,-46.7139336
