nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2749208.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9827365,-43.360893
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,CTI,00.762.723/0001-28,2594279.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5262814,-46.7449527
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,ABS,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.0326295,-51.1780903
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,12203833.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6467785,-46.53386460000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 78",01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9048588,-43.1794818
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Golden Corporate,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9038603,-43.1814608
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Presidente Antonio Carlos,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9105663,-43.172052
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Primeiro de Março,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9013187,-43.1764795
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Cardeal Leme,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9002055,-43.1797109
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Travessa do Ouvidor,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9045434,-43.1769981
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Costa Mare,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.3725004,-40.3267411
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Highline,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.311646,-40.2918987
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Murano,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Dom Gerado 46,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8979587,-43.1789051
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rio Branco 45,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9063832,-43.1771761
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Highline Square,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.311646,-40.2918987
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Carioca,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9066492,-43.1804136
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Conde de Bonfim,149",01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9320902,-43.2401161
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Seasons,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9620681,-43.3969399
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Teofilo Otoni 103,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9006338,-43.1805481
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9048752,-43.1794376
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Le Quartier,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Vision,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Gift,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.910676,-43.2416126
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Allegro,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.2743371,-40.2832916
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Tijuca All Ways,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.930566,-43.2424494
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Toscanini,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-19.9405925,-43.9398436
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Largo de Santa Rita,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9003184,-43.1811537
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Metrpolitan,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-12.983733,-38.453738
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Senhor dos Passos 107,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9070828,-43.18191480000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,CESBOM,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-19.7397781,-45.2536209
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Marechal Camara,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9091988,-43.1694987
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Icono Parque,01.235.622/0001-61,753397.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9307807,-43.1763811
