nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2683434.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9827365,-43.360893
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,CTI,00.762.723/0001-28,36319906.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5262814,-46.7449527
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,ABS,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.0326295,-51.1780903
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,61019165.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6467785,-46.53386460000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Senhor dos Passos, 107",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9038039,-43.1834108
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Visconde de Inhauma,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9000669,-43.179812
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Rio de Branco, 45",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8995746,-43.1794459
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Marechal Camara,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9095897,-43.1691335
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,São Pedro da Aldeia,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8376247,-42.1032541
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Murano,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Vision,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.8057626,-48.0842616
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Primeiro de Março,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9027351,-43.1759439
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Dom Gerardo, 46",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8977878,-43.1789918
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"AV. Brasil, 20384",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8323936,-43.3550115
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Park Square,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9046289,-43.1050749
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9048752,-43.1794376
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Gift,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.910676,-43.2416126
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Metropolitan,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-12.983733,-38.453738
