nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2800149.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9831448,-43.362847
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,CTI,00.762.723/0001-28,2902772.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5271486,-46.7466726
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,Hotel,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.03306,-51.23
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,12203833.0,RO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6518153,-46.5302709
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Metropolitan,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-23.6518153,-46.5302709
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Largo de Santa Rita,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9001072,-43.1809147
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,São Pedro da Aldeia,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-26.99056,-48.63472
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Highlight e Spotlight - Jardim Botafogo,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9557833,-43.1799282
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Teofilo Otoni 24,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-18.0445792,-41.110894
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Dom Gerardo 40/42,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.88899,-43.12314
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Itabira,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-19.6226795,-43.2261225
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Toscanini,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-19.94042,-43.9396421
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Av. Mem de Sá,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9118189,-43.1886406
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9009321,-43.1821395
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Ícono Parque,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9311221,-43.1762936
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,CESBOM,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-19.73639,-45.25222
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Golden Corporate,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9027094,-43.178686
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Touch,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.25,-42.5
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,The Gallery,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-20.3154681,-40.2944491
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Presidente Antonio Carlos,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9049634,-43.1739932
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Aretê - Alto Ybirá,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.7212864,-41.9827153
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"AV. Brasil, 20384",01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.1482071,-43.2857895
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Itumbiara - Fase 1,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-18.4175545,-49.2278016
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Hotel & Bureal,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-15.77972,-47.92972
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Maison Laranjeiras,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9351728,-43.1886669
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Costa Mare,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-20.32972,-40.2925
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Sete de Setembro,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9063507,-43.1820606
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Blanc 260,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9456376,-43.1870339
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Visconde de Inhauma,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.8991849,-43.177243
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Miraggio,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9266624,-43.0954526
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 78",01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9009321,-43.1821395
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Crystal Blue,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-20.31944,-40.33778
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Conde de Bonfim,149",01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.88899,-43.12314
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Primeiro de Março,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.8997749,-43.1770591
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Esquina 98,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-8.0578096,-34.896475
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Travessa do Ouvidor,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9034764,-43.1776992
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Citta America,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.99835,-43.36545
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Barão de Mesquita,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.25,-42.5
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Carioca,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9063717,-43.1787096
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Senhor dos Passos 107,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9063717,-43.1787096
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Innovitá,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.92712,-43.23058
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rio Branco 45,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9056066,-43.1775058
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Dom Gerado 46,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.8979803,-43.1785824
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Orbit,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.8979803,-43.1785824
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Riserva,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-20.31944,-40.33778
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Cardeal Leme,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.88899,-43.12314
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Iluminato,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.945823,-43.1879575
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Touch,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.960395,-43.204945
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Rainha Guilhermina,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9839133,-43.2271859
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Marechal Camara,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9100191,-43.1691888
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Senhor dos Passos 107,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.88899,-43.12314
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,S Design,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9567557,-43.1947293
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Innovitá,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.9111934,-43.2136743
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Dom Gerado 42,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.8979803,-43.1785824
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Lineu 708,01.235.622/0001-61,935878.0,BRL TRUST DTVM S.A.,Híbrido,-22.96828,-43.20423
FUNDO DE INVESTIMENTO IMOBILIÁRIO MISTRAL,Centro Empresarial Presidente Kennedy,01.497.954/0001-14,8703994.0,CORRETORA GERAL DE VALORES E CÂMBIO LTDA,Lajes Corporativas,-30.03306,-51.23
