nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2584398.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9827365,-43.360893
FUNDO DE INVESTIMENTO IMOBILIÁRIO CENTRO TÊXTIL INTERN.,CTI,00.762.723/0001-28,36319906.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5262814,-46.7449527
FUNDO DE INVESTIMENTO IMOBILIÁRIO HERMES,Hotel,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.0326295,-51.1780903
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,61019165.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6467785,-46.53386460000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Senhor dos Passos 107,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9070828,-43.18191480000001
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Barão de Mesquita,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9242419,-43.2425056
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Capri,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Gift,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.910676,-43.2416126
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Visconde de Inhaúma,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.8996218,-43.1787255
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Estoque Diversos,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.280687,-40.2902124
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Citta Office,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-23.0027005,-43.32177
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9048752,-43.1794376
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Due Murano,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-15.7524981,-47.9128527
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Carioca,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-22.9066492,-43.1804136
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Estoque Diversos - Rio de Janeiro,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-23.0076325,-43.3280064
OPPORTUNITY FUNDO E INVESTIMENTO IMOBILIÁRIO,Allegro,01.235.622/0001-61,692257.0,BNY MELLON SERVIÇOS FINANCEIROS DTVM S/A,Híbrido,-20.2743371,-40.2832916
