nome_fundo,nome_imovel,cnpj_fundo,quantidade_cotas_emitidas,nome_administradores,segmento_atuacao,latitude,longitude
FUNDO DE INVESTIMENTO IMOBILIÁRIO VIA PARQUE SHOPPING,Via Parque Shopping,00.332.266/0001-31,2800149.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-22.9831448,-43.362847
FUNDO INVESTIMENTO IMOBILIÁRIO CENTRO TEXTIL INTERNACIONAL,CTI,00.762.723/0001-28,3155589.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Lajes Corporativas,-23.5271486,-46.7466726
FUNDOS DE INVESTIMENTO IMOBILIÁRIO HERMES,Hotel,00.868.235/0001-08,54316.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Híbrido,-30.03306,-51.23
FUNDO DE INVESTIMENTO IMOBILIÁRIO GRAND PLAZA SHOPPING,Grand Plaza Shopping,01.201.140/0001-90,4709082.0,RIO BRAVO INVESTIMENTOS DTVM LTDA,Shoppings,-23.6518153,-46.5302709
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Highlight e Spotlight - Jardim Botafogo,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9557833,-43.1799282
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Sete de Setembro,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9063507,-43.1820606
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Travessa do Ouvidor,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9034764,-43.1776992
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Largo de Santa Rita,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9001072,-43.1809147
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Hotel & Bureal,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-15.77972,-47.92972
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Lineu 708,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.96828,-43.20423
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Golden Corporate,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9027094,-43.178686
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,"Uruguaiana, 76",01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9009321,-43.1821395
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,São Pedro da Aldeia,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-26.99056,-48.63472
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,The Gallery,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-20.3154681,-40.2944491
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Citta America,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.99835,-43.36545
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Rainha Guilhermina,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9839133,-43.2271859
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Primeiro de Março,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.8997749,-43.1770591
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Blanc 260,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9456376,-43.1870339
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,S Design,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.9567557,-43.1947293
OPPORTUNITY FUNDO DE INVESTIMENTO IMOBILIÁRIO,Touch,01.235.622/0001-61,969205.0,BRL TRUST DTVM S.A.,Híbrido,-22.25,-42.5
